county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe
Kern,65+,Q1,1032504,2567,3116,99,412
Kern,65+,Q2,1279274,32708,42076,1981,11837
Kern,65+,Q3,880726,14701,21648,1909,45648
Kern,65+,Q4,75276,0,1,0,4618
Kings,0-17,Q1,422426,1074,1087,1,2
Kings,0-17,Q2,519640,12952,13193,10,69
Kings,0-17,Q3,370108,6357,6521,13,294
Kings,0-17,Q4,27152,0,0,0,24
Kings,18-49,Q1,641561,1678,1746,9,43
Kings,18-49,Q2,798763,20419,21335,108,670
Kings,18-49,Q3,552863,8920,9554,97,2510
Kings,18-49,Q4,41100,0,0,0,214
Kings,50-64,Q1,167100,402,441,4,17
Kings,50-64,Q2,218115,5418,6246,148,879
Kings,50-64,Q3,147222,2446,3057,111,3089
Kings,50-64,Q4,11437,0,0,0,282
Kings,65+,Q1,157864,382,471,18,69
Kings,65+,Q2,197054,4941,6338,294,1774
Kings,65+,Q3,137205,2289,3373,296,6994
Kings,65+,Q4,10160,0,0,0,608
LA,0-17,Q1,19328829,49975,50695,28,119
LA,0-17,Q2,23628001,604255,614987,492,3121
LA,0-17,Q3,16505532,274628,282074,437,11207
LA,0-17,Q4,1269348,0,0,0,991
LA,18-49,Q1,39346829,100738,104326,306,1295
LA,18-49,Q2,47368202,1158787,1212993,6043,36256
LA,18-49,Q3,35321974,644179,686846,6076,148891
LA,18-49,Q4,2507991,0,0,0,12406
LA,50-64,Q1,17174026,42127,47135,685,2744
LA,50-64,Q2,22006625,542767,626408,13436,81873
LA,50-64,Q3,15437879,266748,328672,12789,317132
LA,50-64,Q4,1125675,0,1,1,26948
LA,65+,Q1,14911590,37162,45313,1476,5834
LA,65+,Q2,18192976,441441,568792,27242,159692
LA,65+,Q3,13569204,249463,356736,29141,687377
LA,65+,Q4,910196,0,1,2,55012
Lake,0-17,Q1,121305,316,318,1,2
Lake,0-17,Q2,146799,3594,3654,2,21
Lake,0-17,Q3,105410,1970,2018,3,77
Lake,0-17,Q4,11107,0,0,0,7
Lake,18-49,Q1,200753,481,497,3,15
Lake,18-49,Q2,253237,6360,6651,32,215
Lake,18-49,Q3,179879,3069,3298,34,801
Lake,18-49,Q4,10525,0,0,0,69
Lake,50-64,Q1,106960,253,283,5,21
Lake,50-64,Q2,129416,3314,3833,84,516
Lake,50-64,Q3,94326,1699,2079,69,1897
Lake,50-64,Q4,6335,0,0,0,149
Lake,65+,Q1,140799,348,436,11,50
Lake,65+,Q2,174128,4478,5745,274,1729
Lake,65+,Q3,122125,1910,2824,271,6430
Lake,65+,Q4,8857,0,0,0,537
Lassen,0-17,Q1,46961,101,101,0,0
Lassen,0-17,Q2,58066,1474,1502,0,0
Lassen,0-17,Q3,39889,710,727,0,0
Lassen,0-17,Q4,4115,0,0,0,0
Lassen,18-49,Q1,120807,293,309,1,7
Lassen,18-49,Q2,148545,3556,3733,28,183
Lassen,18-49,Q3,110435,1881,2018,19,593
Lassen,18-49,Q4,5091,0,0,0,31
Lassen,50-64,Q1,48000,104,114,0,0
Lassen,50-64,Q2,60266,1456,1679,35,205
Lassen,50-64,Q3,42856,705,884,43,883
Lassen,50-64,Q4,2954,0,0,0,77
Lassen,65+,Q1,50511,119,139,5,14
Lassen,65+,Q2,62590,1645,2130,109,626
Lassen,65+,Q3,41902,678,989,89,2306
Lassen,65+,Q4,4676,0,0,0,293
Madera,0-17,Q1,347682,824,833,0,0
Madera,0-17,Q2,460932,11640,11821,6,33
Madera,0-17,Q3,309928,5102,5236,7,154
Madera,0-17,Q4,23218,0,0,0,14
Madera,18-49,Q1,615276,1539,1591,4,15
Madera,18-49,Q2,770491,17506,18321,100,597
Madera,18-49,Q3,582779,11851,12570,102,2434
Madera,18-49,Q4,54202,0,0,0,280
Madera,50-64,Q1,224395,530,605,13,58
Madera,50-64,Q2,271952,6566,7588,162,1041
Madera,50-64,Q3,201960,3725,4544,161,3994
Madera,50-64,Q4,14579,0,0,0,337
Madera,65+,Q1,228409,548,678,23,97
Madera,65+,Q2,273415,6480,8284,354,2159
Madera,65+,Q3,208067,4032,5732,447,9698
Madera,65+,Q4,14583,0,0,0,824
Marin,0-17,Q1,407222,1108,1119,0,0
Marin,0-17,Q2,496906,12278,12517,9,52
Marin,0-17,Q3,348975,6302,6445,5,162
Marin,0-17,Q4,36919,0,0,0,20
Marin,18-49,Q1,768437,1915,1970,3,14
Marin,18-49,Q2,982009,24845,25923,132,758
Marin,18-49,Q3,653960,11118,11886,116,2867
Marin,18-49,Q4,66236,0,0,0,331
Marin,50-64,Q1,512640,1333,1498,28,116
Marin,50-64,Q2,623246,15326,17664,378,2339
Marin,50-64,Q3,441381,8167,10008,341,8660
Marin,50-64,Q4,47120,0,0,0,1048
Marin,65+,Q1,603493,1536,1882,73,307
Marin,65+,Q2,745276,18705,23928,1098,6996
Marin,65+,Q3,503727,8669,12626,1108,25402
Marin,65+,Q4,54629,0,0,0,3218
Mariposa,0-17,Q1,23945,70,71,0,0
Mariposa,0-17,Q2,30329,772,784,0,0
Mariposa,0-17,Q3,20800,337,345,0,0
Mariposa,0-17,Q4,1559,0,0,0,0
Mariposa,18-49,Q1,48614,119,122,0,0
Mariposa,18-49,Q2,58865,1449,1520,9,52
